,User_name,Review title,Review Rating,Review date,Review_body,Movie_name
146,Sergeant_Tibbs,"Good, but Interstellar never soars.",7/10,22 November 2014,"There's a lot of things to talk about regarding Interstellar. The state of today's blockbusters, Christopher Nolan's position on the pedestal, the McConaissance, the audiovisual experience, or contemporary attitudes towards space travel. Unfortunately Interstellar offers me no spark to talk about them. While I liked the film, I regret to have such a mild reaction to a Nolan. There was a time when his films were the event of the year. Even his last film was an event for the year, but that quickly evaporated upon The Dark Knight Rises' bafflingly clumsy last hour. I still cherish The Dark Knight and Inception, but it looks like he's out of juice. Not that Interstellar is bad, it just never soars like those films do. Perhaps it's due to rampant expectations. To be fair - it works for a lot of people, and I see why, but I found the melodrama of Inception a far more captivatingly emotional experience than what has been claimed to be Nolan finally having a heart.The problem with Interstellar is that it's too sparse. It has great moments, but they're few and far between. Not that the film doesn't initially barrage you with passable exposition, mysteries and introductions, but there isn't a sense of edge of seat jeopardy until the first expedition on a planet. This must be 45 minutes in. Ostensibly, Nolan is concerned with the emotion, that pain of a father torn from his child, but they're not immersive. Powerful in theory, numbed in execution. Again - not bad - just not as good as they could be. I just couldn't invest in this enough to really get under the character's skin. It's got a logic holes that work superficially but not under scrutiny, many of which have already been dissected by the film's most scathing critics. It is a step up from Rises, though I do feel the cinematography isn't as good as it's been claimed to be with it feeling far too blown out and old school. Interstellar suffers under the circumstances, but is at least a decent effort at world building and concept exploration.7/10",Interstellar
147,tomsview,Introspective,9/10,26 October 2015,"I'm not alone in noticing the similarities between ""Interstellar"" and ""Contact"". Along with the space and time travel themes, there is the poignant father/daughter connection in both films. Both movies also have a spirituality, which a film such as ""Prometheus"" never achieves. The effect is enhanced by their respective scores, a beautifully realised one by Alan Silvestri for ""Contact"" and a stunning one by Hans Zimmer for ""Interstellar"". Indeed, this has got to be close to Zimmer's best work; it is such an integral part of the movie and helps the characters express their deepest feelings. Sci-fi movies usually fall into one of two categories; either they are special effects extravaganzas with loads of action and aliens or they are introspective, where much that happens could almost be an hallucination or caused by claustrophobia, time compression or some other phenomenon of space travel. ""2001: A Space Odyssey"", ""Moon"", ""Event Horizon"" and ""Solaris"" as well as ""Interstellar"" and ""Contact"" fall into that latter category. Like many of the old episodes of ""The Twilight Zone"" and ""The Outer Limits"" they depend more on mood and ideas to make their impact - in the case of the old TV shows, budget and special effects limitations no doubt forced the writers to be more cerebral. But with a big budget film such as ""Interstellar"", the brilliant special effects enhance the profound and complex ideas in the story.""Interstellar"" also fulfils a requirement that Sam Goldwyn once stated - it's the last 5 minutes of a movie that makes it memorable. Like ""Contact"", ""Interstellar"" has a haunting last 5 minutes. To be honest, both ""Contact"" and ""Interstellar"" are long movies and there are passages in each that make you wonder where the story is going, but the powerful final scenes of both films give all the closure needed. It would be hard to think of more emotive scenes than the last ones in ""Interstellar"" - truly inspired filmmaking.Seeing ""Interstellar"" made me want to see ""Contact"" again. I feel they are companion pieces despite being made years apart by different people - although Matthew McConaughey is in them both. ""Interstellar"" is not light fare, it's not mindless effects oriented entertainment. If you are after a movie that will stay with you long after it has finished, it's a trip into inner and outer space well worth taking.",Interstellar
148,Takethispunch,"Epic science fiction,adventure flick.",10/10,23 June 2016,"Interstellar is a 2014 epic science fiction drama film directed, co- produced, and co-written by Christopher Nolan, along with producers Emma Thomas and Lynda Obst, and writer Jonathan Nolan. and starring Matthew McConaughey, Anne Hathaway, Jessica Chastain, Matt Damon and Michael Caine. The film features a crew of astronauts who travel through a wormhole in search of a new home for humanity.In a futuristic 21st-century era, crop blight on Earth has made farming increasingly difficult and threatens humanity's survival. Joseph Cooper, a widowed former NASA pilot, runs a farm with his father-in-law, son, and daughter Murphy, who believes her bedroom is haunted by a poltergeist. When a pattern is created out of dust on the floor, Cooper realizes that gravity is behind its formation, not a ""ghost"". He interprets the pattern as a set of geographic coordinates formed into binary code. Cooper and Murphy follow them to a secret NASA facility, where they are met by Cooper's former professor Dr. Brand.",Interstellar
149,Muhammad_Rafeeq,"Amazing, spectacular, emotional movie, that you won't forget ( A+ Movie) My Ratings 10/10",10/10,21 February 2020,"Spectacular movie, i think is one of the best things Christopher Nolan had done, is exciting, is interesteting and somehow, they scored mixing the sadness with the hopefulness. Wonderfull.
                
                    0 out of 2 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Interstellar
150,Abdulxoxo,A skillful piece of filmmaking,9/10,22 October 2020,"At first I was reluctant to watch this movie 'cause of Nolan's reputation of making overly complicated and confusing films, I prefer staight forward film but this movie is not that confusing as it turned out, well, maybe except the end part. This is truly a masterpiece and surely one of Nolan's best.Hans Zimmer's soundtrack is an integral part of the movie and it created so much emotion, feeling, suspense and tension, without his brilliance the movie would not have been as amazing as it was.
The Cinematography is nothing short of spectacular, and the visual effects were a treat to the eyes. The concept was mind-blowing and thought-provoking. The acting was brilliant, Matthew McCartney deserved way more recognition for his performance, the supporting casts were phenomenal as well.
it's hard to get tired of a movie that has the combination of heart, brain, and soul. This movie encapsulate Sci-fi, drama and the care of human spirit rolled into one.
                
                    1 out of 4 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Interstellar
151,michaeltrivedi,Interesting,8/10,11 November 2019,"My first few times viewing this movie I got bored. Even my most recent time I was bored. A lot of intelligent thought was put into it for people who cannot and won't ever understand it, which is basically most of the audience members. But if you pay attention, and become satisfied with zoning in and out, you get something worthwhile. And more emotional than you'd expect.Interstellar is about an earth that has about one generation left before extinction, due to dust storms and lack of farm-worthy land. A man and a group of astronauts are sent into space to a black hole near the planet Jupiter. They are not sure where it goes, but the end result is that it was setup as an entry way to reach habitable planets in the universe. The astronauts land on two of the planets, and many struggles occur. But one sets up shop on the second planet, while the other is found in a hospital recovering from being lost in space for a while.It's a complex storyline, and would take a lot to really explain. The visuals are pretty stunning to watch in theaters. When I watched the black hole scene, I felt something I hadn't ever felt when watching a movie. I felt like I was zapped and pulled through the wormhole. Matthew Mcconaughey did a good job, and so did the rest of the cast. Jessica Chastain really shines, and adds to my liking of her as an actress.But what really fueled the movie was the emotion involved in it. The pride for the lead characters' family and mission. There is a sense that through the infinite amount of nothingness out there, love still remains consistent and unique among humans. The movie also explores the possibilities that absolutely anything is possible by humans. They could live as ""extra-dimensional' beings, and could do things that are beyond man's abilities now. It's universal evolution, to be able to do everything the universe could do and more.It's a fascinating thought, and a kinda well made movie. The boring parts are boring.Watch it.8 stars",Interstellar
152,Screen_Blitz,Visually stunning sci-fi thrill ride,10/10,1 April 2015,"Christopher Nolan has made big impressions on us with his visual effects, in summer blockbusters like The Dark Knight trilogy and Inception. However, Nolan takes his visual style and narrative talent up to the next level in this complex science-fiction thriller. Matthew McConaughey (Oscar winner from last year's Dallas Buyers Club) stars as Joseph Cooper, a Texas-native father of two children: daughter Murphy and teenager son Tom, living in the not-too-distant future where the world is running scarce on food supply, crops have declined dangerously low and humanity's day are numbered. He is soon called by NASA to take on a mission to travel through the Galaxy in search of a wormhole that could lead to a new home for humanity. Joining Dr. Amelia Brand (played by Anna Hathaway), he struggles against the complexities and perils of the intergalatic environments as well as the decision between saving humanity and the possibility of seeing his family again. This is one of the most visually striking films I've seen in a long time. Christopher Nolan pushes the boundaries of both visual effects and imagination, and brings some eye-popping visuals taking place in outer space you would never forget. The film succeeds not only with ravaging a stunning visual beauty, but also with plenty of scientific food for thought that leaves viewers curious about the nature of astrophysics. The way the film depicts the wormholes and the black holes comes be a cerebral eye-catcher. Now I am not a science guy so I don't how scientific accurate the film is, but it gives a realistic depiction of reality in space. And the plot, though slow at times, manages to associate well with its powerful and scientifically complex story while abandoning its emotional resonance. Some may argue that the plot doesn't quite sustain its 169-minute runtime. Those numbed by the scientific complexity or slow moving storyline may not stay through beginning to end, but there is plenty of strong elements dotted throughout the duration to captivate viewers Let's not forget the incredible performance by Matthew McConaughey. He did a great job on making his character and the bond with his children in the emotional scenes so believable, just by his emotionally driven acting. Anna Hathaway also delivers a performance that stands strong and honorable.Interstellar is a visually stunning, emotionally powerful sci-fi flick full of surprises and thought-provoking elements that could possibly lead this film to stand as a classic within the next decade. This film is an amazing and striking achievement by Christopher Nolan.",Interstellar
153,Troy_Campbell,"Bold, brainy and beautiful.",8/10,9 November 2014,"With a resume including Inception, The Prestige and The Dark Knight trilogy, base expectations for each new Christopher Nolan film are unsurprisingly high. With the promise of intergalactic exploration and time-and-space-bending action, expectations for the Interstellar are even higher. Alas, Nolan proves he's human after all with a movie that is merely great, rather than his usual standard of phenomenal. There is no doubting his ambition or limitless scope though, with a powerful father-daughter story spanning multiple galaxies, dimensions and time periods. The affecting yarn at its heart is paired with a sci-fi narrative that is deep and intelligent, but occasionally hard to swallow, particularly in the final act. That it's such an effective emotional ride can also be put down to the tour de force performance by Matthew McConaughey; his devoted father who leads the interstellar mission is inspiring, flawed, genuine and eminently watchable. Sitting shotgun in the spaceship, Anne Hathaway is solid, if not spectacular, as a focused and brash astronaut, whilst back on earth Jessica Chastain is superb as a world-class scientist and 13 year old Mackenzie Foy is gripping as McConaughey's plucky daughter. Unfortunately the supremely talented Casey Affleck is not given enough to do and the surprise arrival of an A-lister halfway through feels completely out of synch and, shockingly for Nolan, could even be considered as stunt casting. There's not much to write about the breathtaking visual splendour on offer, as words wouldn't be able to do it justice. Suffice to say Nolan has outdone himself when it comes to his eye for presentation, his employment of 70mm IMAX cameras amplifying the beauty and terror of outer space. Often awe-inspiring and enthralling – but with the odd slow patch and narrative flaw across a bum-numbing 167 minutes – Interstellar is bold, brainy and beautiful, yet not the modern masterpiece that it could have been.",Interstellar
154,Johnny-the-Film-Sentinel-2187,The most beautiful science fiction epic in decades.,10/10,27 December 2014,"Interstellar was an absolutely breathtaking experience for me. I thought the writing, the direction, the score and especially the acting (Matthew McConaughey and Mackenzie Foy both gave equally phenomenal performances) were all top notch. The film had the feeling of space films from the past, like 2001: A Space Odyssey (as many have said before), but I thought it also had elements of other space adventures, namely Apollo 13 and Planet of the Apes (the original 1968 film).Another thing that truly resonated with me was Hans Zimmer's gorgeous film score, that I swear he took (musical) notes on what made John Williams film music so moving, and he gave an equally immersive soundtrack to the film that adds another emotional dimension to Christopher Nolan's latest blockbuster epic. Never was the music out of place; it always fit in perfectly with what was going on. It can be its own thing from the film, and it truly tells its own story through sound, something that not many movies have accomplished in quite sometime.The space scenes in particular, have music played to that shows it very much is, and feels like this great expanse of the unknown, an infinite vacuum of an ocean that is full of many beauties and terrors. Hans Zimmer basically added to the already sweeping story of space and time, with an equally overwhelming score that I did not expect to be impacted by it in such a way.Christopher Nolan takes the audience to where they've never truly gone to before until now, through wormholes and the time distortion that black holes can make to nearby planets. It is a big yet beautifully done self-contained adventure. It is not only a fully fledged space epic, but also a cautionary environmental warning for what will happen if we don't leave the Earth when it is a desolate, dust-coated wasteland.I don't know for sure if Interstellar will get the Oscar glory like some were predicting before, but either way, I'm happy that I saw such an ambitious film that has left an impact on quite a lot of people already. It would be nice if it got a Best Picture, Best Actor or Best Screenplay nomination but I don't know for sure; however its music, cinematography and special effects will surely get rightful Academy Awards recognition in 2015.If you want a true space opera that encompasses the wonders of the galaxy, time travel and completely believable characters that need to save humanity, Interstellar is the film for you.Thank you Christopher Nolan. You are such a wonderfully talented filmmaker. Interstellar was such a wonderful gift.P.S. See the film in IMAX 70mm whenever you can, or at the usual cineplex; just see it when you can, folks!",Interstellar
155,ketgup83,Mesmerizing !!!!,9/10,15 November 2014,"The director Christopher Nolan needs no introduction. With expectations always high for every movie of his, every movie has lived up to it and Interstellar is no different. Enough is already known about the plot of the movie. Cooper (Matthew McConaughey) is a former NASA pilot turned farmer who lives with his two children and father in a world which is facing increasing trouble in the form of a condition called blight which threatens to wipe out the Earth's food supply. Cooper takes the task of finding a new planet for human beings to migrate before it is too late. The movie is all about the adventurous expedition while also depicting the emotional turmoil that each of the expedition member goes through. The visual effects are stunning and dialogues are excellent as always. This is the simplest way in which such a complex subject can be rendered and Nolan makes sure that the audience doesn't get bored for a second dealing with a subject not so widely known. All the actors have done an excellent job but Matthew McConaughey steals the show. Background score from Hans Zimmer is amazing and adds life to the movie. The only drawback of the movie is the set of assumptions that Nolan is forced to take when dealing with such a subject. The audience may have no clue on what the characters are talking about. If you want to enjoy this movie fully, read a bit on black holes, wormholes and what dimensions mean in a 3D world.https://www.facebook.com/FilmyChowk",Interstellar
156,antoniotierno,a bit boring,6/10,13 November 2014,"The word I'd use to define this story is contorted..Nolan's intelligence is out of discussion but the problem here is the difficulty of finding a key. All of this effort, all these questions, all of this movie and for what? There is no answer there. Nolan's mind has conceived Memento, The Prestige, Inception, and now Interstellar, always exploring relevant existential questions but there's always the sense that the person making these movies has no sense of proportions. The movies are about love, they're spiritually generic and require a lot of production.. But the overall idea is that the viewer doesn't know where the story is going.. Again the previous question, what for..?!
                
                    5 out of 9 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Interstellar
157,RNMorton,wow,10/10,11 November 2014,"Hard to describe what this movie is other than it is definitely science fiction. All that said, as with all great sci-fi the magic is in the relationships, so maybe this is best called romantic sci-fi in the broader sense of ""romantic"". McConaughey plays pilot turned farmer when Earth's climate conditions force mankind to focus on its day-to-day existence. Ghost-like messages to McConaughey's daughter, who he adores, lead him to a hidden NASA base working towards finding other livable planets. Spurred on by his love for his daughter, McConaughey takes off for the stars to try and save those on Earth. That's as far as the trailer goes and that's as far as I will go. With any sci-fi this broad there's going to be some stuff that raises questions, in this case the connection between Matthew and daughter trumps any plot holes. This was just exceptional stuff, I wasn't much of a Matthew M guy before but I sure am on the bandwagon now. Spectacular ""cinematography"" of outer space is just another great plus. Has richly earned its Oscar for Best Picture.
                
                    3 out of 8 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Interstellar
158,miguelneto-74936,Amazing,10/10,1 May 2016,"Interstellar was the last film Christopher Nolan and in my opinion is the best movie of it, and we have to remember that he directed The Dark Knight and Memento, Interstellar has a complex history and will make you think, the visual effects are amazing, the picture is beautiful, the water and ice planets has a spectacular look, the cast is great is Matthew McConaughey, Anne Hathaway, Michael Caine, Casey Affleck, Jessica Chastain, Matt Damon and many others, the film is long no more lies tedious, the soundtrack is great especially in the scene in the water planet, towards the end has a very confusing scene, the first 50 minutes before they go to the black hole can be a bit tedious, and the end that his father is the daughter with 90 years or more is very Exciting, Interstellar is one of the best movies I've seen, the film has an incredible view and a very well written story, the film really has things that maybe it would be impossible to do the same with the film technology, more makes this pro scientists discovered. Note 10",Interstellar
159,areatw,"Pretentious, self-important and void of fun",6/10,24 March 2017,"'Interstellar' is a three hour movie marathon that contains too few redeeming features to make it worth your time. Going into this movie, everybody would have expected an extremely well made, visually beautiful spectacle, and that's what you get. However, everything else about the film is a disappointment.Sitting staring at a screen for three hours is no fun, unless of course you're watching something entertaining enough to take your mind off it. Throughout 'Interstellar', I found my mind wandering, and I must admit to feeling a sense of relief when the whole thing was over. The film just isn't sufficiently interesting to justify such a long running time.Whilst visually impressive, 'Interstellar' is void of fun. In fact it's void of anything that will make you change your expression. This is just one long, pretentious and self-important film that isn't anywhere near as good as the ratings suggest.
                
                    4 out of 7 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Interstellar
160,zutterjp48,A good science-fiction film.,7/10,18 September 2020,"Maybe ""instellar"" is an overrated film: some wrote that was the best film they have seen, the most extraordinary film,etc !!
It's a good story with some good dialogues, some nice photographies and some thinkings about the future of the humanity.
I think that the success of this film is also due to the cast: Matthew McConaughey, Anne Hathaway, Michael Caine, Jessica Chastain and Matt Damon.
                
                    2 out of 4 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Interstellar
161,NijazBaBs,not as good as it looks,8/10,12 January 2021,"I am disappointed by this movie. Up to halfway through the movie I wanted to review this with with saying that I am amazed. But 2nd half was total nonsense. Only graphics kept looking good. The story just lost any sense. Too complicated, unclear, fake. Negative ending. I expected much more positive ending with much more stuff resolved, more people alive and younger people, and some simple new planet. Instead, it looks like chaos. 5D, professor admitting some lie, accidents, and some bookcase that just is not convincing. Dull emotional reaction in the end, everything haywire. Only good because of topic, good beginning because it is intriguing, and good look of space and machines. Topic is the best, and very realistic at beginning. Also do not like long movies, this one is longest so far. Much better scientific same or similar movies are Source Code (2011), Geostorm (2017), and Deja Vu (2006). So yes, is this movie filled with wonder, feelings, good topic and science? Yes. Is is filled with something so important and extreme and realistic? Yes. But story is more and more bad towards ending. Could be much simple, much better, much more clarified, and much more positive.
                
                    0 out of 1 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Interstellar
162,proud_luddite,Great in the first half; less so in the second.,6/10,19 December 2018,"In the near future, the planet Earth is disintegrating environmentally. A team of astronauts explore outer space to check if there is another planet where Earth's remaining inhabitants can be transported in order to survive.The first half of the film is fascinating. It has great ideas about what the future might be like considering the current levels of greed and over-population. There is also much adventure in the space mission and the right amount of sentiment of a family being separated. Matthew McConaughey shows brilliance and depth in a scene where he quietly shows how much he misses his loved ones. Playing his school-age daughter, Mackenzie Foy is no slouch either.The second half is interesting at best; muddled, too busy and overlong at worst. There is also a major characters whose fate is left unknown to the point of almost being trivialized.The movie is good in many ways but had the potential to be more.",Interstellar
163,Richie-67-485852,Interpersonal,9/10,6 March 2018,"Nice movie to interact with and then at some point let go and let your inner ponder and wonder out. Cause and effect is displayed very well in this movie making it a good movie to see again just to sip it like fine wine. The earth is dying but mankind has other plans and so it goes with twists, turns and mysteries mixed with human nature hope and space exploration. This is where it gets interesting. Of planets there are no end but what kind are they? This movie touches on that. We learn that Earth is perfect as planets go because everything fits so nicely and holds for billions of years and supports multi-life forms (diversity) which boggle the mind. Finding this elsewhere is not that easy even if you have trillions of choices as we are led to believe in this movie. Good entertainment, visuals and who doesn't like a good space story mixed with time elements plus mankind is running out of time movie? Here it is. make this....
                
                    0 out of 1 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Interstellar
164,reddiemurf81,One of the best movies I NEVER want to see again!,8/10,27 July 2020,"Incredibly filmed and acted,, but this movie is SO emotionally draining!! The stakes are so high. So many edge of your seat moments!!I don't know if I want to watch it again,, but it's definitely a good 1 time viewing.
                
                    1 out of 1 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Interstellar
165,hall895,More admired than enjoyed,6/10,26 May 2015,"There is much to admire about Interstellar. It is a film with a thoroughly compelling, thought-provoking story. The visuals are spectacular, the effects are brilliantly done. The performances are all quite good. There are moments of great drama, moments of almost unbearable tension. And there are moments which are genuinely awe-inspiring. This is a film which can fill you with wonder. So why, after seeing the film, do I feel a little bit let down? I am left with the nagging sense that for all the film has going for it Interstellar just is not entertaining enough. And films are first and foremost meant to entertain. This is a noble effort from director Christopher Nolan. He crafted a film which is in many ways quite special. But while you admire what Nolan accomplished is this a film you want to come back to? Do you want to see it again and again? Probably not. It lacks that little spark of entertainment that any film needs to be truly spectacular, to make you want to come back for more.Interstellar unfolds in a future where failing crops have led to starvation. There is not enough food to go around. Earth is failing. Widowed former astronaut Cooper, inquisitive young daughter Murph in tow, stumbles upon a top-secret NASA installation which is conveniently located near his home. There he meets Professor Brand, an old mentor of his who is working to save humanity. Not working to save Earth, working to get humankind off Earth. Lots of talk of wormholes and faraway galaxies where man can start again. Brand needs someone to pilot a spaceship to go check out some of these faraway worlds. No prizes for guessing who is soon strapped in for a rocket ride to outer space.So Cooper takes off on this mission, which comes with the complication that these faraway worlds are really, really far away. Murph is less than pleased that her father is leaving. He promises he'll be back. Of course he does. But of course complications ensue. This mission is a race against time and it is a race Cooper and his crew are losing badly. The fate of humankind hangs in the balance. Heavy stuff. But Cooper just wants to get home to his young daughter. Unfortunately there's the problem of time dilation. There are instances where time on Earth is moving much faster than it does on Cooper's ship and Murph is all grown up and Earth has completely gone to hell and yes this is all a bit confusing. The science in the film is very well worked out but the focus needs to be more on the human drama than the science. There certainly will be plenty of human drama as the story twists and turns through its final act.This gripping story is performed very well. Matthew McConaughey fits the role of Cooper perfectly. A man determined to save mankind but pained by guilt over what he has left behind. McConaughey portrays the inner turmoil in excellent fashion. Michael Caine provides appropriate gravitas as Professor Brand. Anne Hathaway comes off a little cold in playing Brand's daughter, a biotechnologist who travels with Cooper on the epic journey. But that coldness is really part of the character, no fault of Hathaway. And maybe it's not coldness? Maybe it's a steely determination to see the mission through? Anyway, Hathaway and McConaughey play off one another well. Jessica Chastain doesn't show up until well into the film but when she arrives she makes a great impact. The rest of the cast does solid, and in some cases, quite surprising work. So if this fascinating story is performed so wonderfully why does the film not work quite as well as it should? The film's story certainly draws you in but there is that sense that the story could have been told in more entertaining fashion. There are times where the story drags. There is an abundance of clunky dialogue. While the science of the film is well thought out there are times the film seems to get lost in the science. Especially near the end there are moments that are just a little too confusing. So wrapped up in the science of what was possible Nolan seems to have lost a bit of his grip on the human story at the heart of the film. Where the film should be rushing to a brilliant climax it gets bogged down in details. Momentum fades away. Interstellar leaves you with a great appreciation for what Nolan attempted. This is bold, brave filmmaking. Unfortunately as entertainment it falls just a touch short. There is so much to admire about the film. It is certainly well worth seeing once. But, even with all the questions it raises, it is not a film you may be eager to revisit.",Interstellar
166,thekarmicnomad,"Quite epic, very long - a bit touchy feely",6/10,25 May 2015,"This film, although billed as a sci-fi, is really about loss, mortality, apathy and love. The sci-fi element creates a canvass to show off some cgi and add a bit of adventure but little else. The science is where the film shoots itself in both feet. The film tries to justify the plot with elements of theory which is a bit dull and restrictive; yet the story is riddled with plot holes and inconsistencies that it could have got away with if it wasn't taking itself so seriously. The film is concerned entirely around its characters' emotions. So if a big meteor storm is on its way you will get 30 minutes of people worrying about it, 3 minutes of meteor storm then another 30 minutes of people reflecting on its aftermath. This makes a very long film feel even longer. I found this entertaining and it is very well made with great performances and production. I found it unnecessarily long. It also suffers from crop circle syndrome – with an omnipotent technology why not just send a text and stop messing about with charades. My girlfriend didn't want to watch it but instead of hating it she was just indifferent.",Interstellar
167,sergelamarche,Épique,7/10,22 January 2019,"Epic story spanning decades for some but mere hours for others. The relativity calculation for gravity is wrong though. If gravity was so strong to make minutes be years, they would be crushed on the surface. Same with the black hole. It would crush all and the whole universe life would have passed before he could come out. Still good effort for the rest of the physics laws.
                
                    0 out of 0 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Interstellar
168,sergelamarche,Epic,7/10,22 January 2019,"Epic story spanning decades for some but mere hours for others. The story starts when the dust bowl has returned, just as it was. The relativity calculation for gravity is wrong though. If gravity was so strong to make minutes be years, they would be crushed on the surface. Same with the black hole. It would crush all and the whole universe life would have passed before he could come out. Still good effort for the rest of the physics laws.
                
                    0 out of 0 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Interstellar
169,PartialMovieViewer,Outstanding!,10/10,11 June 2015,"Wow – what a ride. This story was a brilliant and enjoyable journey through so much confusing stuff I am not even going to attempt to pick apart. And why should I – since I thought the movie was excellent – I have nothing to whine about. For pointless remonstration, I will leave all malevolent calumny to that galaxy of self-proclaimed scientist-physicist-movie experts aimlessly wandering the IMDb Universe. As popular and common as this amalgam of professions appears, my relatable background is minimal and is as follows: In high-school physics, I got straight 'A's by copying the two geniuses on either side of me; in astronomy – I got billions and billions of 'F's, and as far as film making goes – I really enjoy the cute kittens gorging the YouTube channels. As expert as I may seem, I feel compelled to askwere there flaws? Hell – don't ask meI don't knowmost importantlyI don't give a Klingon's crack. And that is the extent of my mental masturbation and gasconade. This movie was developed for entertainment – and I for one – was entertained.I don't know who came up with this fable – I am assuming the Nolan Brothers (of course I am sure to be informed I am completely wrong – believe me – I really, really do care) – I am very impressed. These two brothers pretty much created this project from scratch and Christopher Nolan artfully delivered an outstanding product. In other words, the directing and writing was great and original. I see comparisons made between this production and, '2001: A Space Odyssey.' Sorry – other than space and time travel, I cannot see the similarities. In fact, there was one big differencethis movie is very watchable, while ""Space Odyssey' is pretty much drab and boring. Sacrilege! I already know that dissing '2001' is a big sin – for the record, I apologize.Mr. Nolan did an outstanding job with the special effects. Unlike some of his other productions (the 'Batman' Saga, 'Inception', and 'Man of Boring Steal', CGI was kept off center-stage; allowing the story to do the bulk of the work. I am already a huge fan of Mathew 'All Right - All Right - All Right' McConaughey. His performance in this movie is first-rate. Granted, this is probably not his best, but still an awesome job. Besides, I honestly doubt he will ever be able to top his portrayal of David Wooderson, in 'Dazed and Confused.' Here is a reminderWooderson: ""That's what I love about these high school girls, man. I get older, they stay the same age."" I digress.AlsoI really like Anne Hathaway. If you want a woman to star in a safe and comfortable roll – this is the woman for you. Her presence emanates niceness, forcing the entire audience to feel safe, and feel calm, and feel happy and – well – just feel pretty darned good. She definitely played a different kind of character this time. On the surface she seemed to be that same mamby-pamby kind of goody-goody soul, but peel away a layer of skinwatch-out. Hathaway posed one short snippy attack at Coop, and, for me, that strengthened her acting chops –tenfold. The entire cast is strong and well directed. As much as I politically disagree with the man, Matt Damon always turns out impressive performances. This guy can do anything. In this movie, Damon is supposed to be a doctor losing his grip on sanity. Phew! Once you are introduced to the man, you know that you are now face-to-face with the Mad Mayor of Planet Insania. He is one scary dude.Is this movie for everyone? Once againI cannot answer that. Read other reviews and plan from there. If scientific perfection is what you are after – probably not; if you know enough about the Cosmos – I would say no, and if you enjoy clueless and pointless artsy movies about washed up superheroes – definitely not. I thoroughly enjoyed this flick and feel this was probably the Nolan Brothers best effort to date. After seeing this, I hope they continue to produce their own material and veer away from pre-made characters. Spectacular package – well delivered – bravo zulu and thanks",Interstellar
170,adamscastlevania2,So well made that the flaws almost don't matter,9/10,25 November 2014,"(89%) One of the more ambitious sci-fi movies of recent years that works both for and against it; although this is a film truly worth tracking down simply because it is such a general cinematic achievement that like ""Gravity"" really needs to be seen in a cinema to be properly experienced. The performances are as one would expect with McConaughey leading well, even if he has been better, and nobody could be accused of letting the side down; while the direction is faultless, and at times totally sublime with many shots that are both haunting and beautiful. Once the final few reels make their rounds the plot takes one too many contrivances that push things a little beyond reason, but this is still an epic trip through time and space that has enough heart and human spirit to get past the bulk of the science flimflam.
                
                    1 out of 4 found this helpful.
                        
                            Was this review helpful?  Sign in to vote.
                        
                        
                    Permalink",Interstellar
171,MuviFan73,"(Hats Off) x 5, where 5 belongs to 5 dimensions!",10/10,12 February 2018,"We have grown up in the age of sci-fi where films like Jurassic park and Godzilla (the previous one) gave us the idea of ongoing growth in Science. Myself being a great fan of such a genre, it added to my pleasure. Now when a decade or two has been passed, it is great to have a movie belonging to the same genre coming from world's greatest director Christopher Nolan.
Christopher is famous for movies like Inception and The Dark Night trilogy as well. Interstellar picks up even in the areas where Inception and The Dark Night trilogy could not. The thriller in inception takes away the touch of reality, also visuals in my opinion were not up to mark (I mostly find it that way if they are built by special effects). On the other hand The Dark Night trilogy belonged to superhero genre, thus it stays away from comparison.
I find no shame in admitting that it took me two times to watch the movie to understand it completely. Also this is my second review after deleting first one. Now all I can say it to be as (Hats Off) x 5, where 5 belongs to 5 dimensions. The story is built by interaction of various interstellar elements like dimensions, black hole, its horizon, relativity, gravity, space, time, worm hole, various worlds, emotions and love. The story is how 'they' from future, interact with present human (probably 'they' from past) to save humanity.
Final verdict: A classic, as it would go down in history.",Interstellar
